from,to,relation,year 
EGDR,KUB,6,1959
EGO,KUB,6,1957
EGO,ECG,1,1957
EM,ECG,1,NA
EMY,ECG,1,NA
EMY,BOV,6,NA
EOL,B26J,1,1957
EOL,KUB,6,1957
FAP,ECG,1,1955
FAP,MEX,6,1955
FCL,KUB,6,1957
FCL,ECG,1,1957
GGF,ECG,1,1957
GGF,KUB,6,1957
GMI,B26J,1,1957
GMI,KUB,6,1957
HGA,B26J,1,1957
HGA,KUB,6,1957
HMA,B26J,1,1957
HMA,KUB,6,1957
IRZ,KUB,6,1957
IRZ,B26J,1,1957
JAB,KUB,6,1957
JAB,B26J,1,1957
LORO,KUB,6,1957
LORO,B26J,1,1957
MAP,KUB,6,1957
MAP,B26J,1,1957
MH,KUB,6,1957
MH,MEX,6,1953
MH,B26J,1,1957
MH,ECG,5,1953
OA,KUB,1,1957
OA,B26J,1,1957
OFM,ECG,1,NA
OFU,KUB,6,1957
OFU,B26J,1,1957
PN,ECG,1,1953
RM,KUB,6,NA
RM,ECG,4,NA
RR,ECG,5,1953
RRL,BO,6,NA
RRL,ECG,4,NA
SD,BOV,6,NA
T,BOV,6,NA
TA,KUB,6,NA
TA,ECG,5,NA
TI,ECG,5,NA
VC,ECG,5,NA
VC,GUA,6,NA
VV,B26J,1,1957
WA,B26J,1,1957
BOV,ECG,6,1953
GUA,RR,6,1953
